Project,Type,Severity,Status,Rule,Message,Component,Line,Created,URL,Action,Resolution,Comment,Reviewer
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,84,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRU,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,89,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRV,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,94,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRW,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,99,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRX,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,104,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRY,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,109,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRZ,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,REVIEWED,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,114,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRa,,,,
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,TO_REVIEW,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,119,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRb,REVIEWED,SAFE,"False positive. This is a URI, not a URL.",jordan.h.padams@jpl.nasa.gov
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,TO_REVIEW,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,124,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRc,REVIEWED,SAFE,"False positive. This is a URI, not a URL.",jordan.h.padams@jpl.nasa.gov
NASA-PDS_doi-ui,SECURITY_HOTSPOT,,TO_REVIEW,,Using http protocol is insecure. Use https instead.,NASA-PDS_doi-ui:src/components/UatKeyWordAutoComplete.jsx,129,2021-01-28T19:38:04+0000,https://sonarcloud.io/project/security_hotspots?id=NASA-PDS_doi-ui&hotspots=AZPV1fTprahIrD-njDRd,REVIEWED,SAFE,"False positive. This is a URI, not a URL.",jordan.h.padams@jpl.nasa.gov
